iter	RMSE
0	74780.63077
1	70724.95004
2	66497.84006
3	62787.66536
4	59580.41931
5	56307.07436
6	53550.5079
7	50803.7143
8	48542.49728
9	46354.78982
10	44406.39407
11	42456.35406
12	40941.6324
13	39495.12427
14	38009.57052
15	36812.43163
16	35715.55093
17	34605.31715
18	33644.94938
19	32860.37013
20	32050.20714
21	31266.01108
22	30640.99327
23	30036.29867
24	29353.2615
25	28796.89595
26	28240.86067
27	27722.69192
28	27278.13398
29	27055.54056
30	26548.34414
31	26158.1403
32	25647.46073
33	25278.50838
34	25071.22083
35	24702.54915
36	24381.89025
37	24135.54264
38	24020.64179
39	23693.96819
40	23484.3026
41	23224.6386
42	22952.06028
43	22701.03788
44	22492.40463
45	22271.98834
46	22195.6634
47	21986.73508
48	21804.14801
49	21562.45662
50	21395.58632
51	21237.13941
52	21061.1764
53	20905.55273
54	20739.94372
55	20552.27644
56	20418.64355
57	20195.42931
58	20083.27673
59	19921.23883
60	19788.81031
61	19686.39133
62	19606.40844
63	19461.3676
64	19338.82239
65	19296.0303
66	19176.30729
67	19145.63975
68	18998.97734
69	18853.73432
70	18674.52064
71	18579.7546
72	18503.76199
73	18394.56853
74	18269.49156
75	18240.8961
76	18104.13549
77	18011.90789
78	17972.33359
79	17908.43416
80	17807.57686
81	17778.45451
82	17688.2008
83	17581.12921
84	17485.71091
85	17463.03961
86	17320.38231
87	17268.19083
88	17195.78727
89	17081.72704
90	16956.44398
91	16849.78138
92	16770.32936
93	16748.23744
94	16674.71439
95	16558.88711
96	16539.50902
97	16478.92241
98	16392.35838
99	16323.76978
100	16253.51324
101	16203.48789
102	16111.96951
103	16084.35106
104	15935.45804
105	15917.44259
106	15853.97456
107	15753.08532
108	15689.18104
109	15673.2242
110	15567.14636
111	15552.79585
112	15459.62207
113	15401.94038
114	15338.14374
115	15249.36355
116	15143.59572
117	15042.99757
118	14977.94182
119	14919.81229
120	14842.04687
121	14744.20508
122	14631.41208
123	14536.2682
124	14483.63924
125	14414.80745
126	14358.8861
127	14319.36772
128	14254.33136
129	14242.49211
130	14226.56767
131	14208.58855
132	14156.92873
133	14075.84013
134	13983.71715
135	13971.09201
136	13915.00844
137	13871.8711
138	13783.575
139	13750.33865
140	13700.36094
141	13657.01218
142	13602.33207
143	13552.13192
144	13521.84205
145	13486.06496
146	13442.83059
147	13354.65182
148	13345.07211
149	13296.12422
150	13251.35207
151	13235.24888
152	13163.19878
153	13096.25402
154	13031.24407
155	13004.6932
156	12995.76445
157	12941.2875
158	12891.18805
159	12842.90396
160	12804.35778
161	12742.57658
162	12683.45802
163	12628.84904
164	12576.84826
165	12545.68946
166	12461.12135
167	12435.00546
168	12387.29699
169	12331.89582
170	12293.83518
171	12282.86316
172	12215.01515
173	12208.46139
174	12177.10231
175	12133.51544
176	12064.64025
177	12030.24001
178	12002.77736
179	11975.59891
180	11889.91202
181	11877.71449
182	11872.80085
183	11846.86731
184	11829.80089
185	11799.58943
186	11758.99936
187	11722.63652
188	11666.65889
189	11643.72655
190	11568.52214
191	11516.06799
192	11491.51245
193	11485.79561
194	11412.30307
195	11406.69004
196	11360.00162
197	11346.59682
198	11295.45367
199	11282.10811
200	11275.43406
201	11231.15502
202	11191.49305
203	11186.86978
204	11139.67244
205	11092.23782
206	11082.13099
207	11040.08302
208	10968.28047
209	10912.5683
210	10890.35966
211	10871.71326
212	10837.66173
213	10818.25786
214	10778.19908
215	10767.70737
216	10741.0093
217	10717.18555
218	10687.70909
219	10636.50883
220	10613.72761
221	10587.76208
222	10556.36989
223	10533.38462
224	10508.56641
225	10480.59313
226	10477.13013
227	10436.10108
228	10388.78312
229	10348.93697
230	10344.71985
231	10331.50608
232	10294.73686
233	10290.74913
234	10253.27526
235	10196.9897
236	10192.73324
237	10171.74377
238	10153.51076
239	10122.28476
240	10066.45094
241	10063.2394
242	10024.13579
243	9992.695025
244	9982.257806
245	9948.241684
246	9919.905413
247	9915.973312
248	9897.285148
249	9873.315018
250	9831.871756
251	9777.510702
252	9737.506066
253	9699.803884
254	9697.072321
255	9694.384696
256	9658.267702
257	9623.32993
258	9582.240714
259	9569.128771
260	9566.290715
261	9528.345779
262	9502.580823
263	9445.368796
264	9418.554643
265	9415.024657
266	9388.04085
267	9368.27169
268	9345.836108
269	9291.055286
270	9271.371405
271	9232.719619
272	9185.77446
273	9163.023506
274	9138.883794
275	9117.418204
276	9086.55043
277	9071.378188
278	9068.319258
279	9054.400063
280	9051.291369
281	8998.86944
282	8965.299857
283	8945.697232
284	8931.428648
285	8907.01279
286	8874.936816
287	8847.957776
288	8822.387182
289	8819.359131
290	8813.981954
291	8799.045326
292	8784.082247
293	8770.557221
294	8721.035454
295	8700.404803
296	8680.254608
297	8644.913109
298	8616.759299
299	8595.650381
300	8572.259876
301	8551.450442
302	8510.47509
303	8488.298651
304	8468.938032
305	8440.434748
306	8398.714398
307	8379.240097
308	8377.25039
309	8342.829151
310	8340.637271
311	8325.996875
312	8312.630719
313	8284.577431
314	8245.546886
315	8243.804255
316	8209.181044
317	8187.402239
318	8140.718484
319	8121.19997
320	8099.052146
321	8072.625911
322	8070.49887
323	8048.074349
324	8012.228592
325	7990.01664
326	7977.551396
327	7960.60773
328	7955.151589
329	7951.374903
330	7942.270797
331	7938.311812
332	7922.982556
333	7891.889582
334	7854.484634
335	7832.75315
336	7803.016773
337	7792.597765
338	7777.226648
339	7741.868751
340	7730.508556
341	7727.509617
342	7726.054962
343	7703.114298
344	7678.478662
345	7636.983528
346	7615.691691
347	7598.673545
348	7597.27707
349	7595.939007
350	7574.292624
351	7556.383266
352	7549.186279
353	7529.334182
354	7505.634076
355	7503.502382
356	7461.522284
357	7439.093737
358	7414.82033
359	7371.409158
360	7357.439305
361	7329.892615
362	7326.794407
363	7310.759986
364	7283.300994
365	7247.91161
366	7224.693153
367	7208.49679
368	7163.288485
369	7149.117566
370	7143.356274
371	7118.1028
372	7095.091992
373	7091.299872
374	7084.08805
375	7072.76508
376	7044.423465
377	7031.381365
378	7028.46708
379	7006.422643
380	6982.732284
381	6967.589072
382	6944.283271
383	6931.060694
384	6911.625427
385	6887.938827
386	6868.624055
387	6860.676791
388	6839.315374
389	6836.821857
390	6817.884459
391	6802.578985
392	6779.224013
393	6776.830138
394	6755.921768
395	6731.351675
396	6708.169798
397	6692.071411
398	6668.982517
399	6647.367774
400	6639.19911
401	6634.057288
402	6601.006163
403	6588.899571
404	6567.509136
405	6547.185129
406	6532.248614
407	6511.343123
408	6489.946028
409	6461.926228
410	6443.993511
411	6441.381795
412	6410.47985
413	6390.058202
414	6354.81718
415	6342.811166
416	6325.209449
417	6309.126098
418	6293.672002
419	6279.092684
420	6262.301589
421	6241.29528
422	6221.387823
423	6214.757241
424	6205.121029
425	6203.984444
426	6202.800274
427	6179.421783
428	6169.842734
429	6138.283633
430	6126.785076
431	6110.818069
432	6091.855721
433	6087.259998
434	6071.820141
435	6050.599484
436	6049.384957
437	6030.135945
438	6006.825648
439	5998.64191
440	5987.233384
441	5971.73425
442	5954.090028
443	5935.857821
444	5924.469564
445	5914.438454
446	5898.157517
447	5884.390408
448	5869.82991
449	5847.074968
450	5827.841618
451	5814.712616
452	5810.854423
453	5783.761732
454	5778.118502
455	5767.845287
456	5766.39605
457	5747.655338
458	5731.37158
459	5721.284149
460	5704.762171
461	5685.009065
462	5668.179156
463	5655.608832
464	5643.065185
465	5626.782362
466	5615.519408
467	5587.156534
468	5575.605695
469	5561.042884
470	5542.534777
471	5534.43381
472	5515.202848
473	5502.644602
474	5488.828648
475	5475.70871
476	5448.185317
477	5436.438328
478	5421.112621
479	5417.007142
480	5401.25166
481	5387.181414
482	5373.609589
483	5356.442175
484	5354.650528
485	5340.41877
486	5339.574884
487	5319.946586
488	5305.555072
489	5304.695917
490	5294.199349
491	5284.327181
492	5278.478187
493	5252.665603
494	5237.318029
495	5236.459898
496	5213.429804
497	5207.581248
498	5197.263953
499	5187.232281
500	5171.28843
501	5154.622778
502	5131.004856
503	5109.025457
504	5103.19076
505	5098.894611
506	5085.056457
507	5081.906704
508	5071.709649
509	5059.901744
510	5055.445431
511	5039.108713
512	5024.535946
513	5006.666916
514	4995.914326
515	4981.879596
516	4973.464551
517	4952.158466
518	4938.87505
519	4937.491974
520	4928.722515
521	4927.933603
522	4920.332745
523	4910.124493
524	4904.082616
525	4897.564506
526	4878.390944
527	4877.539676
528	4864.987167
529	4852.327799
530	4848.068172
531	4847.154112
532	4834.6609
533	4820.834531
534	4817.628662
535	4806.733256
536	4797.066162
537	4781.961644
538	4769.996735
539	4756.958336
540	4741.630971
541	4736.924119
542	4717.878802
543	4702.629402
544	4683.221539
545	4657.320463
546	4644.975853
547	4644.282745
548	4636.181753
549	4623.648236
550	4609.993967
551	4602.551607
552	4592.209421
553	4590.718023
554	4585.061995
555	4572.117695
556	4566.360315
557	4557.331117
558	4556.604393
559	4533.619949
560	4530.649961
561	4530.163696
562	4517.120463
563	4507.451525
564	4500.225246
565	4496.408251
566	4487.967852
567	4480.664904
568	4457.260232
569	4456.614733
570	4445.936619
571	4445.349373
572	4429.674994
573	4413.779525
574	4404.722093
575	4389.489662
576	4379.604621
577	4374.102295
578	4373.160399
579	4369.309121
580	4360.291235
581	4345.336714
582	4333.180651
583	4322.044171
584	4321.034394
585	4312.585019
586	4292.935073
587	4286.377389
588	4278.101965
589	4262.228651
590	4245.950833
591	4226.233375
592	4214.723857
593	4209.367621
594	4191.311491
595	4190.412395
596	4181.513193
597	4173.022395
598	4164.142545
599	4154.479075
600	4145.450516
601	4127.821219
602	4119.033709
603	4109.234411
604	4101.558594
605	4100.491351
606	4097.411981
607	4087.831322
608	4074.734162
609	4074.1284
610	4068.756061
611	4064.52097
612	4063.478601
613	4047.517982
614	4045.069653
615	4038.008259
616	4032.804949
617	4032.237007
618	4018.001035
