iter	Passed	Remaining
0	1	1181
1	2	1024
2	2	949
3	3	921
4	4	907
5	5	901
6	6	895
7	7	891
8	8	891
9	9	898
10	9	897
11	10	891
12	11	889
13	12	887
14	13	893
15	14	891
16	15	888
17	16	887
18	17	885
19	18	884
20	18	882
21	19	878
22	20	875
23	21	872
24	22	869
25	23	866
26	23	863
27	24	859
28	25	857
29	26	857
30	27	854
31	28	851
32	28	849
33	29	847
34	30	845
35	31	843
36	32	840
37	33	837
38	33	834
39	34	831
40	35	829
41	36	828
42	37	826
43	37	823
44	38	820
45	39	817
46	40	814
47	40	810
48	41	808
49	42	805
50	43	803
51	44	812
52	45	810
53	46	807
54	46	805
55	47	803
56	48	802
57	49	801
58	50	798
59	50	797
60	51	796
61	52	795
62	53	794
63	54	793
64	55	792
65	55	791
66	56	790
67	57	788
68	58	787
69	59	786
70	59	784
71	60	783
72	61	782
73	62	782
74	63	782
75	64	781
76	65	779
77	65	779
78	66	778
79	67	778
80	68	777
81	69	776
82	70	775
83	71	774
84	71	773
85	72	771
86	73	770
87	74	769
88	74	767
89	75	765
90	76	764
91	77	763
92	78	762
93	78	760
94	79	759
95	80	759
96	81	758
97	82	756
98	83	755
99	83	754
100	84	754
101	85	753
102	86	752
103	87	753
104	88	753
105	89	753
106	90	752
107	91	751
108	91	750
109	92	749
110	93	748
111	94	748
112	95	747
113	96	746
114	96	745
115	97	744
116	98	743
117	99	742
118	100	741
119	100	740
120	101	740
121	102	738
122	103	737
123	104	736
124	104	734
125	105	733
126	106	732
127	107	731
128	108	731
129	109	730
130	110	730
131	110	729
132	111	728
133	112	727
134	113	726
135	114	725
136	115	724
137	115	724
138	116	724
139	117	723
140	118	722
141	119	721
142	120	720
143	121	719
144	121	718
145	122	717
146	123	716
147	124	715
148	125	714
149	125	713
150	126	712
151	127	711
152	128	710
153	129	709
154	130	710
155	131	710
156	132	710
157	133	709
158	133	708
159	134	707
160	135	706
161	136	706
162	137	705
163	138	704
164	139	703
165	139	702
166	140	701
167	141	701
168	142	699
169	143	699
170	144	698
171	144	697
172	145	696
173	146	695
174	147	694
175	148	693
176	148	692
177	149	691
178	150	690
179	151	691
180	152	690
181	153	689
182	154	688
183	155	687
184	155	686
185	156	685
186	157	684
187	158	683
188	159	682
189	159	681
190	160	680
191	161	679
192	162	678
193	162	677
194	163	676
195	164	674
196	165	674
197	166	672
198	166	671
199	167	670
200	168	669
201	169	668
202	170	667
203	170	666
204	171	665
205	172	664
206	173	663
207	174	662
208	174	661
209	175	660
210	176	659
211	177	658
212	177	657
213	178	656
214	179	655
215	180	654
216	181	653
217	181	652
218	182	651
219	183	650
220	184	650
221	185	650
222	186	649
223	187	649
224	188	648
225	189	647
226	189	646
227	190	645
228	191	645
229	192	644
230	193	643
231	194	642
232	195	642
233	195	641
234	196	640
235	197	640
236	198	639
237	199	638
238	200	637
239	201	636
240	202	636
241	202	635
242	203	634
243	204	633
244	205	633
245	206	632
246	207	631
247	207	630
248	208	629
249	209	629
250	210	628
251	211	627
252	212	627
253	213	626
254	214	625
255	214	624
256	215	623
257	216	622
258	217	621
259	218	621
260	219	620
261	220	619
262	220	618
263	221	618
264	222	617
265	223	616
266	224	615
267	224	614
268	225	613
269	226	612
270	227	611
271	228	610
272	228	609
273	229	608
274	230	608
275	231	607
276	232	607
277	233	606
278	234	605
279	235	604
280	235	603
281	236	602
282	237	602
283	238	601
284	239	600
285	240	599
286	241	598
287	241	597
288	242	597
289	243	596
290	244	595
291	245	594
292	245	593
293	246	592
294	247	591
295	248	590
296	249	589
297	249	588
298	250	587
299	251	586
300	252	585
301	253	584
302	253	583
303	254	582
304	255	582
305	256	581
306	257	580
307	257	579
308	258	578
309	259	577
310	260	576
311	260	575
312	261	574
313	262	573
314	263	572
315	264	571
316	264	570
317	265	570
318	266	569
319	267	569
320	268	568
321	269	567
322	270	566
323	271	566
324	272	565
325	273	564
326	273	563
327	274	563
328	275	562
329	276	561
330	277	560
331	278	559
332	279	558
333	279	558
334	280	557
335	281	556
336	282	555
337	283	554
338	283	553
339	284	552
340	285	552
341	287	553
342	289	555
343	291	556
344	292	555
345	295	557
346	296	558
347	297	558
348	299	558
349	302	561
350	305	564
351	310	571
352	313	574
353	315	575
354	316	574
355	317	573
356	318	573
357	319	572
358	320	571
359	321	570
360	322	569
361	322	569
362	323	568
363	324	567
364	325	566
365	326	565
366	327	565
367	328	564
368	329	563
369	330	562
370	331	561
371	331	560
372	332	559
373	333	558
374	334	557
375	335	556
376	336	555
377	337	555
378	338	554
379	339	553
380	340	552
381	340	551
382	341	550
383	342	550
384	343	549
385	345	549
386	346	548
387	347	547
388	348	547
389	349	546
390	350	545
391	351	544
392	352	544
393	353	544
394	354	543
395	355	542
396	356	541
397	357	541
398	358	540
399	359	539
400	360	538
401	361	537
402	362	536
403	363	535
404	364	534
405	365	534
406	365	533
407	366	532
408	367	531
409	368	530
410	369	529
411	370	528
412	371	527
413	371	526
414	372	525
415	373	524
416	374	523
417	375	523
418	376	522
419	377	521
420	378	520
421	379	520
422	380	519
423	382	519
424	383	518
425	384	518
426	388	521
427	391	523
428	402	535
429	405	536
430	411	543
431	412	542
432	414	542
433	415	541
434	416	540
435	417	539
436	418	539
437	420	539
438	421	538
439	422	537
440	423	536
441	424	535
442	425	534
443	426	533
444	426	532
445	427	531
446	428	530
447	429	529
448	430	528
449	431	527
450	432	526
451	433	525
452	434	524
453	435	523
454	436	522
455	436	521
456	437	520
457	438	519
458	439	518
459	440	517
460	441	516
461	442	515
462	443	514
463	444	513
464	444	511
465	445	510
466	446	509
467	447	508
468	448	507
469	449	506
470	450	505
471	451	504
472	451	503
473	452	502
474	453	501
475	454	500
476	455	499
477	455	497
478	456	496
479	457	495
480	458	494
481	459	493
482	460	492
483	461	491
484	462	490
485	462	489
486	463	488
487	464	487
488	465	486
489	466	485
490	467	484
491	467	483
492	468	482
493	469	481
494	470	479
495	471	478
496	472	477
497	472	476
498	473	475
499	474	474
500	475	473
501	476	472
502	476	471
503	477	470
504	478	469
505	479	468
506	480	467
507	481	465
508	481	464
509	482	463
510	483	462
511	484	461
512	485	460
513	486	459
514	487	458
515	487	457
516	488	456
517	489	455
518	490	454
519	491	453
520	492	452
521	492	451
522	493	450
523	494	449
524	495	448
525	496	447
526	497	446
527	498	445
528	499	444
529	500	443
530	501	442
531	502	441
532	502	440
533	503	439
534	504	438
535	505	437
536	506	436
537	507	435
538	508	434
539	509	433
540	510	432
541	511	431
542	511	430
543	512	429
544	513	429
545	514	427
546	515	426
547	516	426
548	517	425
549	518	424
550	519	423
551	520	422
552	521	421
553	522	420
554	522	419
555	523	418
556	524	417
557	525	416
558	526	415
559	527	414
560	528	413
561	529	412
562	529	411
563	530	410
564	531	409
565	532	408
566	533	407
567	534	406
568	534	405
569	535	404
570	536	403
571	537	401
572	538	400
573	538	399
574	539	398
575	540	397
576	541	396
577	542	395
578	543	394
579	543	393
580	544	392
581	545	391
582	546	390
583	547	390
584	548	388
585	549	387
586	549	386
587	550	385
588	551	384
589	552	383
590	553	382
591	553	381
592	554	380
593	555	379
594	556	378
595	557	377
596	557	376
597	558	375
598	559	374
599	560	373
600	561	372
601	562	371
602	562	370
603	563	369
604	564	368
605	565	367
606	566	366
607	567	365
608	568	364
609	568	363
610	569	362
611	570	361
612	571	360
613	572	359
614	572	358
615	573	357
616	574	356
617	575	355
618	576	354
619	577	353
620	578	352
621	579	351
622	579	350
623	580	349
624	581	348
625	582	348
626	583	347
627	584	346
628	585	345
629	586	344
630	587	343
631	587	342
632	588	341
633	589	340
634	590	339
635	591	338
636	592	337
637	593	336
638	593	335
639	594	334
640	595	333
641	596	332
642	597	331
643	598	330
644	599	329
645	599	328
646	600	327
647	601	326
648	602	325
649	603	324
650	603	323
651	604	322
652	605	321
653	606	320
654	607	319
655	608	318
656	608	317
657	609	316
658	610	315
659	611	314
660	612	314
661	613	313
662	614	312
663	614	311
664	615	310
665	616	309
666	617	308
667	618	307
668	619	306
669	619	305
670	620	304
671	621	303
672	622	302
673	623	301
674	623	300
675	624	299
676	625	298
677	626	297
678	627	296
679	627	295
680	628	294
681	629	293
682	630	292
683	631	291
684	631	290
685	632	289
686	633	288
687	634	287
688	635	286
689	636	286
690	637	285
691	638	284
692	639	283
693	640	282
694	640	281
695	641	280
696	642	279
697	643	278
698	644	277
699	645	276
700	646	275
701	647	274
702	647	273
703	648	272
704	649	271
705	650	270
706	651	269
707	652	268
708	653	268
709	653	267
710	654	266
711	655	265
712	656	264
713	657	263
714	657	262
715	658	261
716	659	260
717	660	259
718	661	258
719	662	257
720	662	256
721	663	255
722	664	254
723	665	253
724	666	252
725	667	251
726	667	250
727	668	249
728	669	248
729	670	247
730	671	246
731	671	246
732	672	245
733	673	244
734	674	243
735	675	242
736	676	241
737	676	240
738	677	239
739	678	238
740	679	237
741	680	236
742	681	235
743	682	234
744	683	233
745	684	233
746	685	232
747	686	231
748	687	230
749	688	229
750	689	228
751	690	227
752	690	226
753	691	225
754	692	224
755	693	223
756	694	222
757	695	221
758	696	221
759	697	220
760	697	219
761	698	218
762	699	217
763	700	216
764	700	215
765	701	214
766	702	213
767	703	212
768	704	211
769	704	210
770	705	209
771	706	208
772	707	207
773	708	206
774	709	205
775	709	204
776	710	203
777	711	203
778	712	202
779	713	201
780	713	200
781	714	199
782	715	198
783	716	197
784	717	196
785	718	195
786	719	194
787	720	193
788	721	192
789	721	191
790	722	191
791	723	190
792	724	189
793	725	188
794	726	187
795	727	186
796	728	185
797	729	184
798	730	183
799	731	182
800	732	181
801	733	180
802	733	180
803	734	179
804	735	178
805	736	177
806	737	176
807	738	175
808	739	174
809	740	173
810	740	172
811	741	171
812	742	170
