HeatingQC	CentralAir	Electrical	1stFlrSF	2ndFlrSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	KitchenQual	TotRmsAbvGrd	Functional	Fireplaces	FireplaceQu	GarageType	GarageYrBlt	GarageFinish	GarageCars	GarageArea	GarageQual	GarageCond	PavedDrive	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	PoolQC	Fence	MiscFeature	MiscVal	MoSold	YrSold	SaleType	SaleCondition
1493.0													205.0				43.0						3.0	3.0								4.0							
92.0													70.0				74.0						124.0	74.0								2.0							
		188.0																																					
		50.0																																					
		8.0																																					
474.0													1151.0				744.0						24.0	15.0								4.0							
		1.0																																					
	196.0																								216.0														
3.0																	46.0						5.0	14.0															
		2671.0																																					
857.0													1492.0				592.0						2604.0	2654.0															
	2723.0																								2641.0														
			46.0	4.0		41.0																6.0																	
			28.0	3.0		25.0																1.0																	
			19.0	3.0		14.0																2.0																	
			18.0	4.0		13.0																1.0																	
			18.0	2.0		14.0																4.0																	
			18.0	2.0		12.0																																	
			17.0	13.0		5.0																23.0																	
			17.0			15.0																2.0																	
			17.0	2.0		12.0																2.0																	
			15.0	23.0																		8.0				1.0													
			13.0	4.0		5.0																3.0																	
			13.0																			5.0				3.0													
			13.0	3.0		2.0																1.0																	
			12.0	18.0																		2.0				1.0													
			12.0	1.0		8.0																																	
			12.0	6.0		7.0																4.0																	
			12.0	7.0		2.0																6.0																	
			11.0	2.0		11.0																																	
			11.0	1.0		7.0																1.0																	
			10.0			10.0																																	
			10.0			13.0																																	
			10.0	1.0		9.0																																	
			10.0	13.0		4.0																11.0																	
			10.0	1.0		18.0																1.0													3.0				
			9.0	1.0		7.0																																	
			9.0	5.0		3.0																3.0																	
			9.0	1.0		8.0																																	
			9.0	2.0																																			
			9.0	9.0		1.0																2.0																	
			9.0	2.0		2.0																3.0																	
			8.0	1.0		4.0																3.0																	
			8.0			5.0																																	
			8.0			5.0																																	
			8.0	2.0		4.0																1.0																	
			8.0	2.0		6.0																2.0																	
			8.0			1.0																4.0																	
			8.0	2.0		6.0																																	
			8.0			5.0																																	
			8.0	1.0		8.0																																	
			8.0	3.0		1.0																																	
			8.0	2.0		1.0																1.0																	
			8.0			7.0																																	
			7.0	13.0																		6.0													8.0				
			7.0	2.0		4.0																1.0																	
			7.0			4.0																																	
			7.0			9.0																																	
			7.0			7.0																																	
			7.0			3.0																1.0																	
			7.0	1.0		9.0																																	
			7.0	6.0		1.0																1.0																	
			7.0	1.0		8.0																																	
			7.0	1.0		26.0																1.0																	
			7.0	11.0		2.0																2.0																	
			7.0																																				
			7.0			4.0																2.0																	
			7.0	2.0		5.0																																	
			7.0	2.0		1.0																																	
			7.0			7.0																																	
			7.0	2.0		1.0																7.0																	
			7.0	1.0		6.0																																	
			7.0	1.0		2.0																4.0																	
			7.0	1.0		2.0																																	
			7.0	5.0																		17.0																	
			7.0	9.0		1.0																3.0																	
			7.0	1.0		4.0																3.0																	
			7.0	2.0		2.0																1.0																	
			7.0	1.0																																			
			7.0			8.0																																	
			6.0	1.0		1.0																																	
			6.0	1.0		2.0																																	
			6.0			4.0																																	
			6.0			4.0																1.0																	
			6.0			2.0																																	
			6.0			7.0																																	
			6.0	1.0		4.0																1.0																	
			6.0	2.0		3.0																1.0																	
			6.0	3.0		1.0																13.0				1.0													
			6.0	1.0		4.0																																	
			6.0	1.0		4.0																																	
