HeatingQC,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageCond,PavedDrive,OpenPorchSF,SaleCondition,GarageType_Attchd,GarageType_Detchd,GarageType_Other,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,MoSold_1,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
1,-0.7738610250965184,0.4135472163019127,1,0.7813658143509358,1,0.16992708860002484,1,0.986849366836289,0,0,0.9732864139930646,2,0.34883989406896637,TA,Y,1,Normal,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0.26107477608525587,-0.4718906513878417,0,0.7813658143509358,0,0.16992708860002484,0,-0.28775828882527155,1,0,-0.0826528986973015,2,-0.05978221088051487,TA,Y,0,Normal,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1,-0.6107184357476674,0.5637554259992817,1,0.7813658143509358,1,0.16992708860002484,1,-0.28775828882527155,1,0,0.8950686871271115,2,0.62744587471634,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0,-0.5062052144460596,0.4273821829845651,1,-1.0273628233099534,0,0.16992708860002484,1,0.3495455390055087,1,1,0.777742096828182,3,0.785322597083185,TA,Y,1,Abnorml,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,-0.037170270068112604,1.3780420364639665,1,0.7813658143509358,1,1.3856554504222593,1,1.6241531946670693,1,0,0.855959823694135,3,1.6861486011763596,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,-0.9268072026110664,-0.2742482702070929,1,-1.0273628233099534,1,-2.2615296350444445,0,-0.9250621166560519,0,0,0.5821977796632993,2,0.033086449335276324,TA,Y,1,Normal,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,1.362287254190001,0.3819244353129929,1,0.7813658143509358,0,0.16992708860002484,1,0.3495455390055087,1,1,1.0123952774260412,2,0.7574619990184477,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,-0.13403618249399296,1.164588264788758,1,0.7813658143509358,1,0.16992708860002484,0,0.3495455390055087,1,0,-0.19997948899623105,2,0.05166018137843457,TA,Y,1,Normal,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,-0.35070993397293587,0.5400383402575919,0,0.7813658143509358,0,-1.0458012732222097,0,0.986849366836289,1,0,-1.842551753181245,2,-0.022634746794198392,TA,Y,0,Abnorml,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,-0.21050927125126692,-0.8375290565722269,1,-1.0273628233099534,0,-1.0458012732222097,0,-0.9250621166560519,1,0,-1.5296808457174327,1,-1.2438576286318526,TA,Y,1,Normal,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
